feature,importance
llm_ts_2026-04-04T14:26:45.405038Z,0.0
llm_ts_2026-04-04T14:28:56.306803Z,0.0
llm_ts_2026-04-04T14:27:23.469179Z,0.0
llm_ts_2026-04-04T14:27:21.200775Z,0.0
llm_ts_2026-04-04T14:27:20.268360Z,0.0
llm_ts_2026-04-04T14:27:17.966205Z,0.0
llm_ts_2026-04-04T14:27:13.068428Z,0.0
llm_ts_2026-04-04T14:26:56.627488Z,0.0
llm_ts_2026-04-04T14:26:54.384582Z,0.0
llm_ts_2026-04-04T14:26:49.492188Z,0.0
llm_ts_2026-04-04T14:28:56.535227Z,0.0
model_tiguan,0.0
model_taurus,0.0
model_tacoma,0.0
model_silverado 1500 rst z-71 4x4 crew,0.0
model_silverado,0.0
model_rx350L,0.0
model_ranger 4x4 sport,0.0
model_quest sl,0.0
model_pickup,0.0
llm_ts_2026-02-25T22:14:28.546398Z,0.0
model_malibu,0.0
model_liberty sport,0.0
llm_ts_2026-02-25T22:14:21.699789Z,0.0
llm_ts_2026-02-25T22:14:16.354791Z,0.0
llm_ts_2026-02-25T22:12:55.729072Z,0.0
vehicle_type_van,0.0
vehicle_type_wagon,0.0
condition_GREAT CONDITIONS!,0.0
model_tlx,0.0
model_outback 2.5i premium awd,0.0
llm_ts_2026-04-04T14:27:30.763990Z,0.0
llm_ts_2026-04-04T14:27:25.825313Z,0.0
llm_ts_2026-04-04T14:27:25.383107Z,0.0
llm_ts_2026-02-25T22:14:02.794236Z,0.0
llm_ts_2026-02-25T22:13:57.312770Z,0.0
llm_ts_2026-02-25T22:13:51.818741Z,0.0
llm_ts_2026-02-25T22:13:46.271040Z,0.0
llm_ts_2026-02-25T22:13:40.635675Z,0.0
llm_ts_2026-02-25T22:13:34.859707Z,0.0
model_town and country limited,0.0
llm_ts_2026-02-25T22:13:21.208616Z,0.0
llm_ts_2026-02-25T22:13:15.008370Z,0.0
llm_ts_2026-02-25T22:13:08.509190Z,0.0
llm_ts_2026-02-25T22:13:01.809010Z,0.0
llm_ts_2026-02-25T22:12:59.671830Z,0.0
llm_ts_2026-02-25T22:12:57.412513Z,0.0
llm_ts_2026-04-04T14:26:30.847528Z,0.0
llm_ts_2026-02-25T22:16:14.506863Z,0.0
llm_ts_2026-02-25T22:16:10.096011Z,0.0
llm_ts_2026-02-25T22:13:30.353357Z,0.0
llm_ts_2026-04-04T14:31:53.667621Z,0.0
llm_ts_2026-04-04T14:31:49.643569Z,0.0
llm_ts_2026-04-04T14:31:44.428824Z,0.0
llm_ts_2026-04-04T14:31:40.178831Z,0.0
make_Chevy,0.0
make_Chevrolet,0.0
make_CHEVROLET,0.0
llm_ts_2026-04-04T14:31:13.608717Z,0.0
llm_ts_2026-04-04T14:31:07.832358Z,0.0
llm_ts_2026-04-04T14:27:44.255708Z,0.0
